s.no.,Has my favorite burger ,It has wide varieties of products – beverages and snacks,It has an excellent outdoor seating,It keeps up with new products/flavors,It is value for money,Great customer service ,It has options for healthy foods in its menu,It has branches across the city I live in / easily available,It provides a convenient drive thru service,The packaging of products is great,Delivers the order quickly/within promised time,Delivers/Open 24/7,The burger tastes fresh,Décor of the shop stands out,The meat of the burger is sourced locally,It has an app to order early for me to avoid the crowd,Provides burger with different seasons ,I prefer because it is a Saudi company,I prefer because it is an international brand,It maintains consistent quality,It is a trustworthy brand,Shops are wide and spacious ,Brand is reputed/leader in the category,Highly recommended by family/friends,It has unique colors which stand out,Brand well known for customization of order,The sauces stand out,Menu has offer for family bundle,The burger  buns are soft and fresh,Potato fries / French fries are crunchy,Potato fries / French fries are more flavorful ,Meaningful,Uniqueness,Saliency,Consideration
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
9,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
